fold,test_start,test_end,n_test,rmse_model,rmse_persistence,rmse_climatology,mae_model,skill_vs_best_baseline,brier_model,brier_climatology,failure_base_rate
0,2020-01-01,2020-12-31,366,0.23057293496436532,0.24696418025941252,0.2562119331921192,0.18408054891676054,0.12833678214099176,0.2832246005211709,0.2826229508196722,0.40437158469945356
1,2021-01-01,2021-12-31,365,0.17478851230815004,0.26835702749918117,0.19841975489648586,0.13929685339674633,0.2240103045044367,0.1760112201503059,0.22410958904109593,0.30684931506849317
2,2022-01-01,2022-12-31,365,0.19440091763573808,0.2660093349333412,0.21078170934736873,0.15741345762662445,0.14938942639083208,0.17852697257655145,0.18465753424657538,0.2410958904109589
3,2023-01-01,2023-12-03,337,0.2184394793295055,0.2932722174666223,0.21924124566153347,0.17018128265534732,0.007300636318406606,0.2587816460706827,0.2358456973293769,0.3264094955489614
